Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,"Zurich, Switzerland",103.8,59.3,84.1,103.2,104.1,158.3
,"Lausanne, Switzerland",100.9,42.9,75.2,105.9,101.6,157.0
,"Geneva, Switzerland",100.7,56.4,81.1,104.6,107.2,161.4
,"Basel, Switzerland",98.0,43.1,73.7,103.9,102.9,176.9
,"Bern, Switzerland",95.0,33.2,67.6,98.8,87.6,160.1
,"Paris, France",68.2,36.9,54.3,70.9,64.8,104.6
,"Amsterdam, Netherlands",67.7,49.5,59.7,58.0,76.6,124.3
,"Luxembourg, Luxembourg",66.0,46.0,57.2,66.1,77.2,167.3
,"Munich, Germany",65.9,37.7,53.4,58.0,67.1,117.0
,"Haarlem, Netherlands",65.3,33.3,51.1,58.6,78.6,101.5
,"Lyon, France",63.2,22.0,44.9,70.5,60.6,110.2
,"Hamburg, Germany",63.1,27.5,47.4,57.9,66.7,130.5
,"Brussels, Belgium",61.9,28.2,47.0,60.8,72.2,111.9
,"Frankfurt, Germany",61.8,30.0,47.8,57.6,62.4,140.6
,"Rotterdam, Netherlands",61.5,34.7,49.6,57.7,70.3,125.6
,"Cologne, Germany",61.3,24.8,45.1,59.5,57.5,123.4
,"Vienna, Austria",61.2,26.2,45.7,62.5,60.5,110.6
,"Antwerp, Belgium",61.2,21.0,43.4,60.1,73.8,105.3
,"Dusseldorf, Germany",60.8,26.3,45.5,57.9,60.8,125.1
,"Stuttgart, Germany",60.2,27.4,45.7,58.5,61.5,134.9
,"Utrecht, Netherlands",60.2,34.7,48.9,56.6,65.0,134.2
,"Nuremberg, Germany",60.0,21.0,42.8,57.2,61.7,137.8
,"Eindhoven, Netherlands",59.9,30.4,46.9,55.3,64.1,135.9
,"Gent, Belgium",59.8,19.7,42.0,58.1,73.4,116.5
,"Berlin, Germany",59.6,30.4,46.7,55.1,60.1,121.0
,"Graz, Austria",59.6,19.2,41.7,60.1,58.3,115.8
,"Essen, Germany",59.1,16.8,40.4,57.3,55.1,139.3
,"Montpellier, France",59.0,16.7,40.3,66.7,54.6,100.7
,"Karlsruhe, Germany",58.9,23.4,43.2,57.7,56.6,122.1
,"Bremen, Germany",58.6,18.4,40.8,58.8,56.5,140.2
,"Toulouse, France",58.5,19.3,41.1,67.3,55.6,120.4
,"The Hague (Den Haag), Netherlands",58.3,34.9,47.9,57.4,61.4,146.1
,"Hanover, Germany",58.1,20.0,41.2,55.8,58.5,119.9
,"Mannheim, Germany",58.1,20.7,41.5,58.2,49.5,175.4
,"Aachen, Germany",57.5,17.9,40.0,55.7,54.6,136.1
,"Leipzig, Germany",56.4,17.8,39.3,59.0,52.7,119.3
,"Dresden, Germany",55.9,18.2,39.2,54.6,56.2,136.0
,"Groningen, Netherlands",54.5,21.6,39.9,55.7,61.6,149.2
