city,country,net_salary,apt1_city_centre,meal_cheap,internet,utilities,coffee,gasoline,beer,ticket_oneway,ticket_monthly
Wien,austria,2641.54,1032.14,15.0,36.0,285.15,4.22,6.1,1.29,2.4,40.0
Graz,austria,2551.07,700.0,14.0,31.34,323.19,3.8,5.83,1.33,3.0,62.75
Linz,austria,2229.89,615.44,18.0,34.67,300.42,3.8,5.7,1.34,2.7,54.45
Salzburg,austria,2763.55,1106.25,15.0,37.33,330.32,4.12,5.72,1.29,2.4,75.0
Berlin,germany,2891.64,1229.35,15.0,40.59,313.46,3.77,6.54,1.01,3.5,58.0
München,germany,3382.65,1523.38,18.0,40.13,349.58,3.79,6.54,1.02,4.0,58.0
Hamburg,germany,2540.87,1043.48,8.7,130.43,79.17,4.35,2.61,2.49,1.74,86.96
Düsseldorf,germany,3060.21,1070.0,15.0,42.05,305.82,3.59,6.57,0.9,3.4,56.5
Frankfurt,germany,3666.67,685.0,7.0,45.42,284.0,1.0,6.52,0.89,1.95,53.5
Hannover,germany,2434.78,1063.16,16.52,62.8,403.26,3.12,3.16,2.18,3.05,61.28
Nürnberg,germany,3186.06,838.0,15.0,43.37,297.76,3.8,6.57,0.92,3.49,58.0
Essen,germany,2434.78,1063.16,16.52,62.8,403.26,3.12,3.16,2.18,3.05,61.28
Köln,germany,2628.25,1052.94,14.0,43.64,344.34,3.77,6.45,0.94,3.3,58.0
Bern,switzerland,6186.36,1623.53,24.23,50.0,321.21,4.99,7.17,1.66,3.19,84.57
Zürich,switzerland,6749.86,2384.76,26.6,50.96,218.77,5.84,7.46,2.34,4.26,92.55
Genf,switzerland,3304.35,1304.35,18.26,43.48,160.52,4.93,2.7,2.1,3.83,89.54
Basel,switzerland,6948.82,1812.65,26.6,51.39,262.07,5.77,7.12,2.07,4.04,91.49
